date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:54	232/232	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Dec%202021%2014:35:55%20GMT	https://eth-invest.org/robots.txt		(from )
14:35:54	11488/11488	---M-Z	200	added ('OK')	text/html	etag:%222ce0-5d2894be1e040-gzip%22	https://eth-invest.org/	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/index.html	(from )
14:35:55	1316/1316	---MCZ	200	added ('OK')	text/css	etag:W/%2261ab0e97-524%22	https://eth-invest.org/font/font-2.css	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/font/font-2.css	(from https://eth-invest.org/)
14:35:55	191/191	---M--	200	added ('OK')	text/css	etag:%2261ab0e8d-bf%22	https://eth-invest.org/css2-12cb0.css?family=Syncopate:wght@700&display=swap	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/css2-12cb02cb0.css	(from https://eth-invest.org/)
14:35:55	12228/12228	---MCZ	200	added ('OK')	text/css	etag:W/%2261ab0e93-2fc4%22	https://eth-invest.org/css/style-2.css	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/css/style-2.css	(from https://eth-invest.org/)
14:35:55	22925/22925	---M--	200	added ('OK')	image/png	etag:%2261ab0ea0-598d%22	https://eth-invest.org/img/favicon_eth.png	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/img/favicon_eth.png	(from https://eth-invest.org/)
14:35:55	1459/1459	---M--	200	added ('OK')	image/svg+xml	etag:%2261ab0ea2-5b3%22	https://eth-invest.org/img/logo-1.svg	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/img/logo-1.svg	(from https://eth-invest.org/)
14:35:56	224455/224455	---M--	200	added ('OK')	image/png	etag:%2261ab0fe3-36cc7%22	https://eth-invest.org/img/phone_eth.png	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/img/phone_eth.png	(from https://eth-invest.org/)
14:35:56	19728/19728	---M--	200	added ('OK')	image/png	etag:%2261ab0ea5-4d10%22	https://eth-invest.org/img/qr-1.png	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/img/qr-1.png	(from https://eth-invest.org/)
14:35:57	20531/20531	---M--	200	added ('OK')	image/png	etag:%2261ab0ea6-5033%22	https://eth-invest.org/img/sending-1.png	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/img/sending-1.png	(from https://eth-invest.org/)
14:35:57	18226/18226	---M--	200	added ('OK')	image/png	etag:%2261ab0ea5-4732%22	https://eth-invest.org/img/receive-1.png	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/img/receive-1.png	(from https://eth-invest.org/)
14:35:57	18277/18277	---M--	200	added ('OK')	image/png	etag:%2261ab0e99-4765%22	https://eth-invest.org/img/back-1.png	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/img/back-1.png	(from https://eth-invest.org/)
14:35:58	1841/1841	---M--	200	added ('OK')	image/png	etag:%2261ab0ea1-731%22	https://eth-invest.org/img/fire-1.png	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/img/fire-1.png	(from https://eth-invest.org/)
14:35:58	1212010/1212010	---M--	200	added ('OK')	image/png	etag:%2261ab0e9e-127e6a%22	https://eth-invest.org/img/ceo_eth.png	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/img/ceo_eth.png	(from https://eth-invest.org/)
14:35:58	13192/13192	---M--	200	added ('OK')	image/png	etag:%225f9225fc4ba97bc8dc3b4a28d932db61%22	https://i.imgur.com/tXYy6ld.png	C:/My%20Web%20Sites/Eth%20Invest/i.imgur.com/tXYy6ld.png	(from https://eth-invest.org/)
14:35:58	19134/19134	---M--	200	added ('OK')	image/png	etag:%2261ab0ea6-4abe%22	https://eth-invest.org/img/rocket-1.png	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/img/rocket-1.png	(from https://eth-invest.org/)
14:35:58	89501/89501	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ab0e91-15d9d%22	https://eth-invest.org/ajax/libs/jquery/3.6.0/jquery.min-1.js	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/ajax/libs/jquery/3.6.0/jquery.min-1.js	(from https://eth-invest.org/)
14:35:59	3978/3978	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ae2f87-f8a%22	https://eth-invest.org/js/scripteth.js	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/js/scripteth.js	(from https://eth-invest.org/)
14:35:59	43112/43112	---M--	200	added ('OK')	application/octet-stream	etag:%2261ab0e94-a868%22	https://eth-invest.org/font/EudoxusSans-Bold.woff2	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/font/EudoxusSans-Bold.woff2	(from https://eth-invest.org/font/font-2.css)
14:35:59	54588/54588	---M--	200	added ('OK')	application/font-woff	etag:%2261ab0e94-d53c%22	https://eth-invest.org/font/EudoxusSans-Bold.woff	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/font/EudoxusSans-Bold.woff	(from https://eth-invest.org/font/font-2.css)
14:35:59	41616/41616	---M--	200	added ('OK')	application/octet-stream	etag:%2261ab0e97-a290%22	https://eth-invest.org/font/EudoxusSans-Regular.woff2	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/font/EudoxusSans-Regular.woff2	(from https://eth-invest.org/font/font-2.css)
14:35:59	53044/53044	---M--	200	added ('OK')	application/font-woff	etag:%2261ab0e97-cf34%22	https://eth-invest.org/font/EudoxusSans-Regular.woff	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/font/EudoxusSans-Regular.woff	(from https://eth-invest.org/font/font-2.css)
14:36:00	41956/41956	---M--	200	added ('OK')	application/octet-stream	etag:%2261ab0e96-a3e4%22	https://eth-invest.org/font/EudoxusSans-Light.woff2	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/font/EudoxusSans-Light.woff2	(from https://eth-invest.org/font/font-2.css)
14:36:00	53268/53268	---M--	200	added ('OK')	application/font-woff	etag:%2261ab0e96-d014%22	https://eth-invest.org/font/EudoxusSans-Light.woff	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/font/EudoxusSans-Light.woff	(from https://eth-invest.org/font/font-2.css)
14:36:00	42600/42600	---M--	200	added ('OK')	application/octet-stream	etag:%2261ab0e95-a668%22	https://eth-invest.org/font/EudoxusSans-ExtraBold.woff2	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/font/EudoxusSans-ExtraBold.woff2	(from https://eth-invest.org/font/font-2.css)
14:36:00	54080/54080	---M--	200	added ('OK')	application/font-woff	etag:%2261ab0e95-d340%22	https://eth-invest.org/font/EudoxusSans-ExtraBold.woff	C:/My%20Web%20Sites/Eth%20Invest/eth-invest.org/font/EudoxusSans-ExtraBold.woff	(from https://eth-invest.org/font/font-2.css)
